#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 15 340  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.2   4.8   5.4 99.0 99.00
2023 01 01 00 45 340  0.5 99.0 99.00 99.00 99.00 999 9999.0   6.6   4.5   5.8 99.0 99.00
2023 01 01 01 15   0  0.0 99.0 99.00 99.00 99.00 999 9999.0   7.3   4.6   6.5 99.0 99.00
2023 01 01 01 45 140  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.3   4.5   6.4 99.0 99.00
2023 01 01 02 15 160  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   4.5   6.1 99.0 99.00
2023 01 01 02 45 240  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.3   4.6   6.4 99.0 99.00
2023 01 01 03 15 200  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.5   4.6   5.8 99.0 99.00
2023 01 01 03 45 170  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.5   4.3   6.8 99.0 99.00
2023 01 01 04 15 290  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.8   4.3   6.0 99.0 99.00
2023 01 01 04 45 200  3.6 99.0 99.00 99.00 99.00 999 9999.0   7.2   4.4   6.5 99.0 99.00
2023 01 01 05 15 180  2.6 99.0 99.00 99.00 99.00 999 9999.0   9.7   4.4   9.1 99.0 99.00
2023 01 01 05 45 240  2.6 99.0 99.00 99.00 99.00 999 9999.0  10.1   4.5   9.1 99.0 99.00
2023 01 01 06 15 210  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.6   4.6   6.8 99.0 99.00
2023 01 01 06 45 200  3.1 99.0 99.00 99.00 99.00 999 9999.0   7.9   4.6   7.3 99.0 99.00
2023 01 01 07 15 210  4.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   4.6   7.5 99.0 99.00
2023 01 01 07 45 220  4.1 99.0 99.00 99.00 99.00 999 9999.0   8.3   4.6   7.7 99.0 99.00
2023 01 01 08 15 210  3.1 99.0 99.00 99.00 99.00 999 9999.0   7.8   4.6   7.1 99.0 99.00
2023 01 01 08 45 230  3.6 99.0 99.00 99.00 99.00 999 9999.0   7.5   4.6   6.9 99.0 99.00
2023 01 01 09 15 230  4.1 99.0 99.00 99.00 99.00 999 9999.0   8.2   4.6   7.6 99.0 99.00
2023 01 01 09 45 240  4.1 99.0 99.00 99.00 99.00 999 9999.0   8.4   4.5   7.6 99.0 99.00
