Event,Station,dt_ISO,Latitude,Longitude,Depth,Pressure,Salinity,Temperature,MLD,CH4_diss,CH4_std_dev,CH4_eq,N2O_diss,N2O_std_dev,N2O_eq,slp_15,k_wt_15_CH4,F_CH4_15,k_wt_15_N2O,F_N2O_15
RVCT_20230802_MID4-cast01,MID4-cast01,2023-08-02T12:11:00,40.92282,-73.65492,2.268,2.286,26.2575,22.9817,4,46.9289078720752,3.5202702122948,2.33396028288886,8.70392555101528,0.0814366076001206,7.42255057753839,1.00123916505564,1.28765052217727,58.414243829772,1.25497485407451,1.62422389078963
RVCT_20230802_EXRX-cast01,EXRX-cast01,2023-08-02T12:57:11,40.88672,-73.7266,1.954,1.969,26.2581,22.1952,8,151.508926579795,0,2.37309325507445,9.40546842793071,0,7.60141012616827,1.00125903302029,1.28315144213211,194.717763779795,1.24566151992496,2.27454707452758
RVCT_20230802_MID4-cast03,MID4-cast03,2023-08-02T15:03:18,40.92356,-73.65576,1.871,1.885,26.0919,23.5087,4,52.6499258137217,0.889326563568549,2.31084737392929,8.99942090392708,0.278887748477285,7.31303296764552,1.0013104047978,1.27274024755799,65.157667123721,1.24134932258298,2.11701122383879
RVCT_20230802_MID4-cast05,MID4-cast05,2023-08-02T19:03:19,40.92376,-73.65355,2.152,2.169,26.2499,24.0565,4,59.7925518358356,5.36494834505425,2.28199441655883,9.00515991298356,0.252512560595435,7.18779984544081,1.00140796147782,1.23957431824431,72.4983009687387,1.21090673202409,2.22565810461386
RVCT_20230802_MID4-cast07,MID4-cast07,2023-08-02T23:28:59,40.92296,-73.65512,1.902,1.917,26.2925,23.137,3,51.1746828045271,3.228015835732,2.32577692215868,8.65549576157226,0.259937195391554,7.3864145441017,1.00150983552972,1.23619225993385,61.4278275990308,1.20626141626259,1.54366502352824
RVCT_20230802_MID4-cast09,MID4-cast09,2023-08-03T02:57:19,40.9232,-73.65409,2.267,2.285,26.3688,23.1974,6,51.0542972375047,8.43219724423015,2.32160486213832,8.92094716252195,0.00282578688002253,7.36972482706812,1.00157657318499,1.32929205223137,65.8994559856713,1.29269828952321,2.02478855809731
RVCT_20230802_MID4-cast11,MID4-cast11,2023-08-03T06:57:25,40.92322,-73.65369,1.963,1.979,26.3966,22.8849,7,55.644841948141,0.268353372559428,2.33649250285687,8.68804905419158,0.152401756257007,7.43818672025929,1.00163659986941,1.31038768541384,71.0694239506132,1.27372421215389,1.60400547053804
RVCT_20230802_MID4-cast13,MID4-cast13,2023-08-03T10:58:24,40.9231,-73.65363,2.448,2.468,26.2822,22.7485,5,56.2679062638836,9.51290199776952,2.34507395136262,9.0849064972724,0.218221742157569,7.47388889780791,1.00167357688057,1.33579202261485,73.2788860356261,1.29898790077765,2.11260959477076
RVCT_20230802_EXR1-cast01,EXR1-cast01,2023-08-03T12:15:00,40.87102,-73.7369,2.32,2.338,26.0343,22.1657,5,334.9235271069,15.856242302945,2.37825310776455,12.0553959220195,0.968392209343101,7.61825073670207,1.00167927356698,1.34549523755503,455.212232964578,1.30700456715377,5.88319140317533
RVCT_20230802_EXRX-cast02,EXRX-cast02,2023-08-03T13:07:01,40.88224,-73.72968,2.524,2.543,26.2185,22.1589,5,202.821818535635,18.0400820510576,2.37557156281839,10.3347523545857,0.140301677368737,7.61158295149346,1.00168274373038,1.3612773446965,277.64042448103,1.32197552624864,3.645838100146
RVCT_20230802_MID3-cast01,MID3-cast01,2023-08-03T13:45:02,40.90408,-73.69178,2.318,2.336,26.3803,22.6279,8,92.6718680124431,4.93884667753123,2.34946841604234,9.21097269133746,0.493716963901677,7.49688381355865,1.0016856225328,1.38364027642537,127.158095252683,1.34300203015134,2.32509528312177
RVCT_20230802_MID4-cast14,MID4-cast14,2023-08-03T14:22:52,40.923,-73.65666,2.533,2.553,26.3821,22.6345,7,61.303223850195,0.918303451120127,2.34911158974318,8.83515319612927,0.237557593452475,7.49530764557378,1.00168878201598,1.39886692187673,83.9084871561373,1.35760644969988,1.83337296417462
RVCT_20230802_MID5-cast01,MID5-cast01,2023-08-03T14:56:51,40.94056,-73.61365,2.256,2.274,26.39,22.8263,8,45.013563978787,3.43669244023833,2.33948898926537,8.64584204159599,0.147498151400215,7.45163985013319,1.00169141640097,1.41745765380662,61.5400930973806,1.37536768655438,1.65353316714482
RVCT_20230802_WLIS-cast02,WLIS-cast02,2023-08-03T15:28:21,40.95582,-73.5814,2.302,2.32,26.52,22.8084,5,46.9989082509007,4.76472187196097,2.33827963996257,8.35927448272922,0.15459546800522,7.44999289112513,1.00169382434992,1.47984000038301,67.2464538062734,1.43610768878569,1.3103411456498
RVCT_20230802_WLI6-cast01,WLI6-cast01,2023-08-03T16:16:02,40.962,-73.55742,2.173,2.19,26.6117,22.9039,5,43.7673580621201,0,2.33210295572075,8.53007191152848,0,7.42456949265743,1.00169739743674,1.52444683747673,64.2727997249202,1.47878793663835,1.64464710265719
