Event,Station,dt_ISO,Latitude,Longitude,Depth,Pressure,Salinity,Temperature,CH4_diss,CH4_std_dev,CH4_eq,N2O_diss,N2O_std_dev,N2O_eq,O2,StationDepth,MLD,Cast,Bottle
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,16.6393631573854,16.77,26.0381,17.7346,35.7679408512864,9.82396350633647,2.61822998391262,9.92552717557206,0.324534452232416,8.75138870858973,205.1062764,16.8378690472767,6,2,0
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,12.875,12.976,26.0059,17.7077,38.7671772787836,8.40332604262762,2.62039597175604,9.88882847310116,0.103555185623852,8.76067088658627,208.841062,16.8378690472767,6,2,9
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,10.124,10.203,25.9224,17.6053,30.5285540506999,8.73543060899212,2.62793539454625,9.95460669867834,0.224977798117772,8.79405219105941,218.2613183,16.8378690472767,6,2,7
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,6.249,6.298,25.6522,17.2956,42.7288335256622,5.10962294825615,2.65126322249174,10.160835868248,0.21006084065479,8.89700747275901,226.7900385,16.8378690472767,6,2,5
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,3.579,3.607,25.4956,17.0816,47.8302702268127,0,2.6669864052547,9.72176721437434,0,8.96746198387998,231.0873042,16.8378690472767,6,2,3
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,1.859,1.873,25.487,17.0563,48.5921990850109,0,2.66866588728277,9.68364687792093,0,8.97530275819802,230.5525882,16.8378690472767,6,2,1
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,1.867,1.881,25.4873,17.056,47.4508863246945,0,2.6686781717238,10.1548238309862,0,8.97537395878547,231.4975959,16.8378690472767,6,2,2
RVCT_20231019_MID4-cast01,MID4-cast01,2023-10-19T11:26:14,40.9231666666667,-73.6553333333333,15.445,15.566,26.0381,17.7346,28.4379400794549,4.51462793070045,2.61822998391262,9.80139051296522,0.361000716796625,8.75138870858973,205.1062764,16.8378690472767,6,2,12
RVCT_20231019_EXRX-cast01,EXRX-cast01,2023-10-19T12:15:51,40.8855,-73.7276666666667,15.722,15.845,25.298,17.2921,116.799105190198,0.0272580977488361,2.65815816903318,11.0286357919979,0.330606778300276,8.91707857846585,210.7619264,16.5422581847265,14,3,11
RVCT_20231019_EXRX-cast01,EXRX-cast01,2023-10-19T12:15:51,40.8855,-73.7276666666667,13.525,13.631,25.2539,17.2452,122.183336117591,5.47436719296175,2.66178857779876,10.8151693977353,0.132596459619956,8.93302390716586,215.4273235,16.5422581847265,14,3,9
