"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/07/31","00:00","6.175","-","6.74"
"2023/07/31","00:06","6.319","-","6.88"
"2023/07/31","00:12","6.458","-","7.04"
"2023/07/31","00:18","6.592","-","7.21"
"2023/07/31","00:24","6.722","-","7.34"
"2023/07/31","00:30","6.845","-","7.5"
"2023/07/31","00:36","6.963","-","7.64"
"2023/07/31","00:42","7.075","-","7.78"
"2023/07/31","00:48","7.181","-","7.88"
"2023/07/31","00:54","7.279","-","8.01"
"2023/07/31","01:00","7.37","-","8.14"
"2023/07/31","01:06","7.454","-","8.25"
"2023/07/31","01:12","7.53","-","8.35"
"2023/07/31","01:18","7.598","-","8.46"
"2023/07/31","01:24","7.657","-","8.54"
"2023/07/31","01:30","7.707","-","8.63"
"2023/07/31","01:36","7.749","-","8.68"
"2023/07/31","01:42","7.781","-","8.73"
"2023/07/31","01:48","7.805","-","8.76"
"2023/07/31","01:54","7.818","-","8.8"
"2023/07/31","02:00","7.822","-","8.82"
"2023/07/31","02:06","7.817","-","8.82"
"2023/07/31","02:12","7.802","-","8.82"
"2023/07/31","02:18","7.777","-","8.8"
"2023/07/31","02:24","7.743","-","8.77"
"2023/07/31","02:30","7.699","-","8.73"
"2023/07/31","02:36","7.646","-","8.69"
"2023/07/31","02:42","7.583","-","8.62"
"2023/07/31","02:48","7.512","-","8.55"
"2023/07/31","02:54","7.432","-","8.48"
"2023/07/31","03:00","7.343","-","8.4"
"2023/07/31","03:06","7.247","-","8.31"
"2023/07/31","03:12","7.142","-","8.2"
"2023/07/31","03:18","7.03","-","8.1"
"2023/07/31","03:24","6.911","-","7.96"
"2023/07/31","03:30","6.785","-","7.8"
"2023/07/31","03:36","6.652","-","7.68"
"2023/07/31","03:42","6.514","-","7.54"
"2023/07/31","03:48","6.369","-","7.41"
"2023/07/31","03:54","6.22","-","7.24"
"2023/07/31","04:00","6.066","-","7.06"
"2023/07/31","04:06","5.907","-","6.89"
"2023/07/31","04:12","5.745","-","6.74"
"2023/07/31","04:18","5.579","-","6.6"
"2023/07/31","04:24","5.41","-","6.44"
"2023/07/31","04:30","5.239","-","6.27"
"2023/07/31","04:36","5.065","-","6.1"
"2023/07/31","04:42","4.889","-","5.9"
"2023/07/31","04:48","4.712","-","5.71"
"2023/07/31","04:54","4.534","-","5.52"
"2023/07/31","05:00","4.355","-","5.33"
"2023/07/31","05:06","4.176","-","5.15"
"2023/07/31","05:12","3.997","-","4.96"
"2023/07/31","05:18","3.818","-","4.78"
"2023/07/31","05:24","3.64","-","4.61"
"2023/07/31","05:30","3.464","-","4.41"
"2023/07/31","05:36","3.288","-","4.21"
"2023/07/31","05:42","3.114","-","4.01"
"2023/07/31","05:48","2.942","-","3.82"
"2023/07/31","05:54","2.773","-","3.64"
"2023/07/31","06:00","2.605","-","3.46"
"2023/07/31","06:06","2.441","-","3.27"
"2023/07/31","06:12","2.279","-","3.11"
"2023/07/31","06:18","2.121","-","2.93"
"2023/07/31","06:24","1.966","-","2.76"
"2023/07/31","06:30","1.815","-","2.6"
"2023/07/31","06:36","1.668","-","2.44"
"2023/07/31","06:42","1.524","-","2.29"
"2023/07/31","06:48","1.386","-","2.13"
"2023/07/31","06:54","1.252","-","1.98"
"2023/07/31","07:00","1.123","-","1.83"
"2023/07/31","07:06","1","-","1.69"
"2023/07/31","07:12","0.882","-","1.54"
"2023/07/31","07:18","0.77","-","1.4"
"2023/07/31","07:24","0.664","-","1.27"
"2023/07/31","07:30","0.565","-","1.14"
"2023/07/31","07:36","0.473","-","1"
"2023/07/31","07:42","0.389","-","0.89"
"2023/07/31","07:48","0.312","-","0.8"
"2023/07/31","07:54","0.243","-","0.7"
"2023/07/31","08:00","0.182","-","0.59"
"2023/07/31","08:06","0.131","-","0.51"
"2023/07/31","08:12","0.088","-","0.44"
"2023/07/31","08:18","0.054","-","0.38"
"2023/07/31","08:24","0.03","-","0.32"
"2023/07/31","08:30","0.016","-","0.28"
"2023/07/31","08:36","0.011","-","0.27"
"2023/07/31","08:42","0.016","-","0.25"
"2023/07/31","08:48","0.032","-","0.25"
"2023/07/31","08:54","0.058","-","0.27"
"2023/07/31","09:00","0.093","-","0.32"
"2023/07/31","09:06","0.139","-","0.36"
"2023/07/31","09:12","0.195","-","0.4"
"2023/07/31","09:18","0.26","-","0.45"
"2023/07/31","09:24","0.334","-","0.51"
"2023/07/31","09:30","0.418","-","0.59"
"2023/07/31","09:36","0.511","-","0.71"
"2023/07/31","09:42","0.612","-","0.84"
"2023/07/31","09:48","0.721","-","0.97"
"2023/07/31","09:54","0.837","-","1.12"
"2023/07/31","10:00","0.961","-","1.26"
"2023/07/31","10:06","1.091","-","1.42"
"2023/07/31","10:12","1.228","-","1.56"
"2023/07/31","10:18","1.369","-","1.71"
"2023/07/31","10:24","1.516","-","1.84"
"2023/07/31","10:30","1.668","-","1.98"
"2023/07/31","10:36","1.823","-","2.12"
"2023/07/31","10:42","1.982","-","2.29"
"2023/07/31","10:48","2.143","-","2.46"
"2023/07/31","10:54","2.307","-","2.67"
"2023/07/31","11:00","2.474","-","2.85"
"2023/07/31","11:06","2.642","-","3.03"
"2023/07/31","11:12","2.811","-","3.2"
"2023/07/31","11:18","2.981","-","3.37"
"2023/07/31","11:24","3.151","-","3.53"
"2023/07/31","11:30","3.321","-","3.7"
"2023/07/31","11:36","3.492","-","3.9"
"2023/07/31","11:42","3.661","-","4.1"
"2023/07/31","11:48","3.83","-","4.3"
"2023/07/31","11:54","3.997","-","4.48"
"2023/07/31","12:00","4.163","-","4.65"
"2023/07/31","12:06","4.327","-","4.82"
"2023/07/31","12:12","4.489","-","5"
"2023/07/31","12:18","4.649","-","5.2"
"2023/07/31","12:24","4.806","-","5.39"
"2023/07/31","12:30","4.959","-","5.56"
"2023/07/31","12:36","5.109","-","5.72"
"2023/07/31","12:42","5.256","-","5.88"
"2023/07/31","12:48","5.398","-","6.03"
"2023/07/31","12:54","5.535","-","6.18"
"2023/07/31","13:00","5.668","-","6.35"
"2023/07/31","13:06","5.795","-","6.48"
"2023/07/31","13:12","5.917","-","6.61"
"2023/07/31","13:18","6.032","-","6.76"
"2023/07/31","13:24","6.141","-","6.9"
"2023/07/31","13:30","6.243","-","7.04"
"2023/07/31","13:36","6.338","-","7.17"
"2023/07/31","13:42","6.425","-","7.26"
"2023/07/31","13:48","6.505","-","7.35"
"2023/07/31","13:54","6.575","-","7.47"
"2023/07/31","14:00","6.638","-","7.55"
"2023/07/31","14:06","6.692","-","7.62"
"2023/07/31","14:12","6.736","-","7.67"
"2023/07/31","14:18","6.772","-","7.73"
"2023/07/31","14:24","6.798","-","7.79"
"2023/07/31","14:30","6.815","-","7.83"
"2023/07/31","14:36","6.822","-","7.84"
"2023/07/31","14:42","6.82","-","7.87"
"2023/07/31","14:48","6.808","-","7.85"
"2023/07/31","14:54","6.787","-","7.82"
"2023/07/31","15:00","6.757","-","7.79"
"2023/07/31","15:06","6.717","-","7.77"
"2023/07/31","15:12","6.669","-","7.76"
"2023/07/31","15:18","6.611","-","7.7"
"2023/07/31","15:24","6.545","-","7.64"
"2023/07/31","15:30","6.471","-","7.54"
"2023/07/31","15:36","6.389","-","7.45"
"2023/07/31","15:42","6.299","-","7.36"
"2023/07/31","15:48","6.202","-","7.27"
"2023/07/31","15:54","6.098","-","7.16"
"2023/07/31","16:00","5.988","-","7.06"
"2023/07/31","16:06","5.871","-","6.94"
"2023/07/31","16:12","5.748","-","6.81"
"2023/07/31","16:18","5.621","-","6.68"
"2023/07/31","16:24","5.488","-","6.55"
"2023/07/31","16:30","5.35","-","6.4"
"2023/07/31","16:36","5.209","-","6.25"
"2023/07/31","16:42","5.064","-","6.09"
"2023/07/31","16:48","4.916","-","5.93"
"2023/07/31","16:54","4.765","-","5.78"
"2023/07/31","17:00","4.611","-","5.62"
"2023/07/31","17:06","4.456","-","5.45"
"2023/07/31","17:12","4.299","-","5.27"
"2023/07/31","17:18","4.141","-","5.08"
"2023/07/31","17:24","3.983","-","4.91"
"2023/07/31","17:30","3.824","-","4.73"
"2023/07/31","17:36","3.665","-","4.56"
"2023/07/31","17:42","3.506","-","4.39"
"2023/07/31","17:48","3.349","-","4.18"
"2023/07/31","17:54","3.192","-","4"
"2023/07/31","18:00","3.037","-","3.82"
"2023/07/31","18:06","2.883","-","3.65"
"2023/07/31","18:12","2.731","-","3.47"
"2023/07/31","18:18","2.582","-","3.28"
"2023/07/31","18:24","2.435","-","3.11"
"2023/07/31","18:30","2.291","-","2.94"
"2023/07/31","18:36","2.151","-","2.75"
"2023/07/31","18:42","2.013","-","2.6"
"2023/07/31","18:48","1.879","-","2.43"
"2023/07/31","18:54","1.749","-","2.29"
"2023/07/31","19:00","1.623","-","2.17"
"2023/07/31","19:06","1.502","-","2.03"
"2023/07/31","19:12","1.385","-","1.91"
"2023/07/31","19:18","1.273","-","1.75"
"2023/07/31","19:24","1.167","-","1.63"
"2023/07/31","19:30","1.066","-","1.51"
"2023/07/31","19:36","0.971","-","1.37"
"2023/07/31","19:42","0.882","-","1.26"
"2023/07/31","19:48","0.799","-","1.18"
"2023/07/31","19:54","0.724","-","1.11"
"2023/07/31","20:00","0.655","-","1.04"
"2023/07/31","20:06","0.594","-","0.96"
"2023/07/31","20:12","0.542","-","0.83"
"2023/07/31","20:18","0.497","-","0.76"
"2023/07/31","20:24","0.461","-","0.67"
"2023/07/31","20:30","0.434","-","0.63"
"2023/07/31","20:36","0.416","-","0.59"
"2023/07/31","20:42","0.407","-","0.56"
"2023/07/31","20:48","0.408","-","0.54"
"2023/07/31","20:54","0.419","-","0.54"
"2023/07/31","21:00","0.44","-","0.55"
"2023/07/31","21:06","0.471","-","0.58"
"2023/07/31","21:12","0.513","-","0.59"
"2023/07/31","21:18","0.564","-","0.64"
"2023/07/31","21:24","0.626","-","0.69"
"2023/07/31","21:30","0.698","-","0.75"
"2023/07/31","21:36","0.78","-","0.86"
"2023/07/31","21:42","0.871","-","0.96"
"2023/07/31","21:48","0.972","-","1.09"
"2023/07/31","21:54","1.083","-","1.21"
"2023/07/31","22:00","1.202","-","1.34"
"2023/07/31","22:06","1.329","-","1.47"
"2023/07/31","22:12","1.464","-","1.62"
"2023/07/31","22:18","1.607","-","1.77"
"2023/07/31","22:24","1.757","-","1.9"
"2023/07/31","22:30","1.913","-","2.05"
"2023/07/31","22:36","2.075","-","2.22"
"2023/07/31","22:42","2.242","-","2.38"
"2023/07/31","22:48","2.414","-","2.54"
"2023/07/31","22:54","2.59","-","2.7"
"2023/07/31","23:00","2.77","-","2.85"
"2023/07/31","23:06","2.953","-","3.03"
"2023/07/31","23:12","3.138","-","3.22"
"2023/07/31","23:18","3.326","-","3.43"
"2023/07/31","23:24","3.514","-","3.62"
"2023/07/31","23:30","3.704","-","3.83"
"2023/07/31","23:36","3.895","-","4.02"
"2023/07/31","23:42","4.085","-","4.21"
"2023/07/31","23:48","4.276","-","4.42"
"2023/07/31","23:54","4.465","-","4.63"
"2023/08/01","00:00","4.654","-","4.83"
"2023/08/01","00:06","4.841","-","5.05"
"2023/08/01","00:12","5.026","-","5.26"
"2023/08/01","00:18","5.21","-","5.47"
"2023/08/01","00:24","5.391","-","5.69"
"2023/08/01","00:30","5.569","-","5.9"
"2023/08/01","00:36","5.744","-","6.09"
"2023/08/01","00:42","5.915","-","6.28"
"2023/08/01","00:48","6.083","-","6.47"
"2023/08/01","00:54","6.247","-","6.64"
"2023/08/01","01:00","6.406","-","6.8"
"2023/08/01","01:06","6.56","-","6.97"
"2023/08/01","01:12","6.709","-","7.14"
"2023/08/01","01:18","6.853","-","7.31"
"2023/08/01","01:24","6.99","-","7.47"
"2023/08/01","01:30","7.121","-","7.62"
"2023/08/01","01:36","7.245","-","7.76"
"2023/08/01","01:42","7.363","-","7.88"
"2023/08/01","01:48","7.472","-","8.02"
"2023/08/01","01:54","7.574","-","8.15"
"2023/08/01","02:00","7.667","-","8.29"
"2023/08/01","02:06","7.752","-","8.41"
"2023/08/01","02:12","7.827","-","8.51"
"2023/08/01","02:18","7.894","-","8.6"
"2023/08/01","02:24","7.951","-","8.69"
"2023/08/01","02:30","7.998","-","8.78"
"2023/08/01","02:36","8.035","-","8.84"
"2023/08/01","02:42","8.062","-","8.87"
"2023/08/01","02:48","8.078","-","8.89"
"2023/08/01","02:54","8.085","-","8.92"
"2023/08/01","03:00","8.081","-","8.95"
"2023/08/01","03:06","8.066","-","8.96"
"2023/08/01","03:12","8.041","-","8.95"
"2023/08/01","03:18","8.006","-","8.91"
"2023/08/01","03:24","7.96","-","8.85"
"2023/08/01","03:30","7.905","-","8.78"
"2023/08/01","03:36","7.839","-","8.72"
"2023/08/01","03:42","7.764","-","8.65"
"2023/08/01","03:48","7.68","-","8.57"
"2023/08/01","03:54","7.586","-","8.47"
"2023/08/01","04:00","7.484","-","8.36"
"2023/08/01","04:06","7.373","-","8.23"
"2023/08/01","04:12","7.254","-","8.09"
"2023/08/01","04:18","7.128","-","7.97"
"2023/08/01","04:24","6.994","-","7.84"
"2023/08/01","04:30","6.853","-","7.69"
"2023/08/01","04:36","6.706","-","7.53"
"2023/08/01","04:42","6.553","-","7.38"
"2023/08/01","04:48","6.394","-","7.22"
"2023/08/01","04:54","6.23","-","7.06"
"2023/08/01","05:00","6.061","-","6.89"
"2023/08/01","05:06","5.888","-","6.71"
"2023/08/01","05:12","5.711","-","6.53"
"2023/08/01","05:18","5.531","-","6.34"
"2023/08/01","05:24","5.348","-","6.15"
"2023/08/01","05:30","5.162","-","5.95"
"2023/08/01","05:36","4.975","-","5.77"
"2023/08/01","05:42","4.785","-","5.59"
"2023/08/01","05:48","4.595","-","5.37"
"2023/08/01","05:54","4.403","-","5.14"
"2023/08/01","06:00","4.211","-","4.93"
"2023/08/01","06:06","4.02","-","4.74"
"2023/08/01","06:12","3.828","-","4.56"
"2023/08/01","06:18","3.637","-","4.35"
"2023/08/01","06:24","3.447","-","4.13"
"2023/08/01","06:30","3.258","-","3.91"
"2023/08/01","06:36","3.071","-","3.71"
"2023/08/01","06:42","2.886","-","3.51"
"2023/08/01","06:48","2.703","-","3.31"
"2023/08/01","06:54","2.523","-","3.12"
"2023/08/01","07:00","2.346","-","2.93"
"2023/08/01","07:06","2.171","-","2.74"
"2023/08/01","07:12","2","-","2.55"
"2023/08/01","07:18","1.833","-","2.37"
"2023/08/01","07:24","1.669","-","2.21"
"2023/08/01","07:30","1.51","-","2.04"
"2023/08/01","07:36","1.355","-","1.85"
"2023/08/01","07:42","1.205","-","1.69"
"2023/08/01","07:48","1.061","-","1.52"
"2023/08/01","07:54","0.922","-","1.35"
"2023/08/01","08:00","0.788","-","1.17"
"2023/08/01","08:06","0.661","-","1.02"
"2023/08/01","08:12","0.54","-","0.88"
"2023/08/01","08:18","0.427","-","0.75"
"2023/08/01","08:24","0.321","-","0.62"
"2023/08/01","08:30","0.222","-","0.46"
"2023/08/01","08:36","0.131","-","0.34"
"2023/08/01","08:42","0.049","-","0.22"
"2023/08/01","08:48","-0.024","-","0.12"
"2023/08/01","08:54","-0.088","-","0"
"2023/08/01","09:00","-0.142","-","-0.1"
"2023/08/01","09:06","-0.187","-","-0.17"
"2023/08/01","09:12","-0.221","-","-0.22"
"2023/08/01","09:18","-0.245","-","-0.27"
"2023/08/01","09:24","-0.259","-","-0.31"
"2023/08/01","09:30","-0.261","-","-0.35"
"2023/08/01","09:36","-0.253","-","-0.38"
"2023/08/01","09:42","-0.234","-","-0.37"
"2023/08/01","09:48","-0.204","-","-0.32"
"2023/08/01","09:54","-0.163","-","-0.27"
"2023/08/01","10:00","-0.111","-","-0.23"
"2023/08/01","10:06","-0.049","-","-0.21"
"2023/08/01","10:12","0.024","-","-0.18"
"2023/08/01","10:18","0.107","-","-0.08"
"2023/08/01","10:24","0.2","-","0.08"
"2023/08/01","10:30","0.302","-","0.24"
"2023/08/01","10:36","0.414","-","0.35"
"2023/08/01","10:42","0.533","-","0.45"
"2023/08/01","10:48","0.661","-","0.56"
"2023/08/01","10:54","0.797","-","0.74"
"2023/08/01","11:00","0.94","-","0.95"
"2023/08/01","11:06","1.089","-","1.14"
"2023/08/01","11:12","1.244","-","1.32"
"2023/08/01","11:18","1.405","-","1.46"
"2023/08/01","11:24","1.57","-","1.64"
"2023/08/01","11:30","1.74","-","1.83"
"2023/08/01","11:36","1.913","-","2.04"
"2023/08/01","11:42","2.09","-","2.21"
"2023/08/01","11:48","2.269","-","2.37"
"2023/08/01","11:54","2.451","-","2.55"
"2023/08/01","12:00","2.635","-","2.75"
"2023/08/01","12:06","2.82","-","2.97"
"2023/08/01","12:12","3.006","-","3.18"
"2023/08/01","12:18","3.192","-","3.37"
"2023/08/01","12:24","3.379","-","3.55"
"2023/08/01","12:30","3.565","-","3.74"
"2023/08/01","12:36","3.751","-","3.93"
"2023/08/01","12:42","3.935","-","4.14"
