"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/05/20","00:00","6.061","-","7.17"
"2024/05/20","00:06","6.169","-","7.3"
"2024/05/20","00:12","6.272","-","7.39"
"2024/05/20","00:18","6.369","-","7.47"
"2024/05/20","00:24","6.461","-","7.56"
"2024/05/20","00:30","6.546","-","7.67"
"2024/05/20","00:36","6.624","-","7.76"
"2024/05/20","00:42","6.695","-","7.83"
"2024/05/20","00:48","6.759","-","7.89"
"2024/05/20","00:54","6.815","-","7.94"
"2024/05/20","01:00","6.863","-","8.03"
"2024/05/20","01:06","6.904","-","8.09"
"2024/05/20","01:12","6.936","-","8.13"
"2024/05/20","01:18","6.96","-","8.14"
"2024/05/20","01:24","6.976","-","8.15"
"2024/05/20","01:30","6.983","-","8.18"
"2024/05/20","01:36","6.982","-","8.2"
"2024/05/20","01:42","6.972","-","8.19"
"2024/05/20","01:48","6.955","-","8.17"
"2024/05/20","01:54","6.929","-","8.12"
"2024/05/20","02:00","6.895","-","8.09"
"2024/05/20","02:06","6.853","-","8.06"
"2024/05/20","02:12","6.803","-","7.99"
"2024/05/20","02:18","6.746","-","7.9"
"2024/05/20","02:24","6.682","-","7.82"
"2024/05/20","02:30","6.61","-","7.75"
"2024/05/20","02:36","6.532","-","7.68"
"2024/05/20","02:42","6.447","-","7.6"
"2024/05/20","02:48","6.356","-","7.49"
"2024/05/20","02:54","6.259","-","7.37"
"2024/05/20","03:00","6.157","-","7.24"
"2024/05/20","03:06","6.049","-","7.12"
"2024/05/20","03:12","5.936","-","6.99"
"2024/05/20","03:18","5.818","-","6.88"
"2024/05/20","03:24","5.697","-","6.76"
"2024/05/20","03:30","5.571","-","6.62"
"2024/05/20","03:36","5.441","-","6.48"
"2024/05/20","03:42","5.308","-","6.35"
"2024/05/20","03:48","5.172","-","6.21"
"2024/05/20","03:54","5.034","-","6.07"
"2024/05/20","04:00","4.893","-","5.94"
"2024/05/20","04:06","4.75","-","5.79"
"2024/05/20","04:12","4.605","-","5.62"
"2024/05/20","04:18","4.459","-","5.43"
"2024/05/20","04:24","4.312","-","5.27"
"2024/05/20","04:30","4.163","-","5.13"
"2024/05/20","04:36","4.014","-","4.97"
"2024/05/20","04:42","3.865","-","4.81"
"2024/05/20","04:48","3.715","-","4.66"
"2024/05/20","04:54","3.566","-","4.52"
"2024/05/20","05:00","3.417","-","4.36"
"2024/05/20","05:06","3.269","-","4.18"
"2024/05/20","05:12","3.121","-","4.02"
"2024/05/20","05:18","2.975","-","3.86"
"2024/05/20","05:24","2.829","-","3.69"
"2024/05/20","05:30","2.686","-","3.54"
"2024/05/20","05:36","2.544","-","3.41"
"2024/05/20","05:42","2.405","-","3.3"
"2024/05/20","05:48","2.268","-","3.19"
"2024/05/20","05:54","2.133","-","3.05"
"2024/05/20","06:00","2.002","-","2.89"
"2024/05/20","06:06","1.874","-","2.73"
"2024/05/20","06:12","1.75","-","2.58"
"2024/05/20","06:18","1.63","-","2.47"
"2024/05/20","06:24","1.515","-","2.4"
"2024/05/20","06:30","1.404","-","2.31"
"2024/05/20","06:36","1.299","-","2.2"
"2024/05/20","06:42","1.199","-","2.09"
"2024/05/20","06:48","1.105","-","1.99"
"2024/05/20","06:54","1.017","-","1.89"
"2024/05/20","07:00","0.936","-","1.81"
"2024/05/20","07:06","0.863","-","1.76"
