"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/10/17","00:00","0.454","-","1.6"
"2023/10/17","00:06","0.53","-","1.7"
"2023/10/17","00:12","0.614","-","1.83"
"2023/10/17","00:18","0.707","-","1.96"
"2023/10/17","00:24","0.809","-","2.1"
"2023/10/17","00:30","0.919","-","2.22"
"2023/10/17","00:36","1.037","-","2.33"
"2023/10/17","00:42","1.162","-","2.47"
"2023/10/17","00:48","1.294","-","2.61"
"2023/10/17","00:54","1.432","-","2.77"
"2023/10/17","01:00","1.576","-","2.93"
"2023/10/17","01:06","1.724","-","3.07"
"2023/10/17","01:12","1.878","-","3.19"
"2023/10/17","01:18","2.035","-","3.34"
"2023/10/17","01:24","2.196","-","3.49"
"2023/10/17","01:30","2.36","-","3.65"
"2023/10/17","01:36","2.525","-","3.8"
"2023/10/17","01:42","2.693","-","3.93"
"2023/10/17","01:48","2.861","-","4.09"
"2023/10/17","01:54","3.031","-","4.27"
"2023/10/17","02:00","3.2","-","4.46"
"2023/10/17","02:06","3.369","-","4.63"
"2023/10/17","02:12","3.537","-","4.79"
"2023/10/17","02:18","3.704","-","4.94"
"2023/10/17","02:24","3.869","-","5.1"
"2023/10/17","02:30","4.032","-","5.25"
"2023/10/17","02:36","4.193","-","5.44"
"2023/10/17","02:42","4.352","-","5.63"
"2023/10/17","02:48","4.508","-","5.78"
"2023/10/17","02:54","4.66","-","5.94"
"2023/10/17","03:00","4.81","-","6.1"
"2023/10/17","03:06","4.955","-","6.24"
"2023/10/17","03:12","5.097","-","6.38"
"2023/10/17","03:18","5.235","-","6.52"
"2023/10/17","03:24","5.369","-","6.66"
"2023/10/17","03:30","5.498","-","6.8"
"2023/10/17","03:36","5.623","-","6.94"
"2023/10/17","03:42","5.742","-","7.07"
"2023/10/17","03:48","5.856","-","7.21"
"2023/10/17","03:54","5.965","-","7.33"
"2023/10/17","04:00","6.068","-","7.43"
"2023/10/17","04:06","6.165","-","7.51"
"2023/10/17","04:12","6.255","-","7.61"
"2023/10/17","04:18","6.339","-","7.69"
"2023/10/17","04:24","6.417","-","7.8"
