"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/07/31","00:00","5.344","-","6.27"
"2023/07/31","00:06","5.123","-","6.02"
"2023/07/31","00:12","4.898","-","5.77"
"2023/07/31","00:18","4.669","-","5.51"
"2023/07/31","00:24","4.437","-","5.25"
"2023/07/31","00:30","4.203","-","4.99"
"2023/07/31","00:36","3.969","-","4.73"
"2023/07/31","00:42","3.735","-","4.48"
"2023/07/31","00:48","3.502","-","4.23"
"2023/07/31","00:54","3.272","-","3.97"
"2023/07/31","01:00","3.045","-","3.76"
"2023/07/31","01:06","2.823","-","3.53"
"2023/07/31","01:12","2.606","-","3.31"
"2023/07/31","01:18","2.395","-","3.09"
"2023/07/31","01:24","2.191","-","2.89"
"2023/07/31","01:30","1.995","-","2.69"
"2023/07/31","01:36","1.807","-","2.49"
"2023/07/31","01:42","1.628","-","2.31"
"2023/07/31","01:48","1.459","-","2.14"
"2023/07/31","01:54","1.299","-","1.98"
"2023/07/31","02:00","1.15","-","1.83"
"2023/07/31","02:06","1.01","-","1.69"
"2023/07/31","02:12","0.88","-","1.56"
"2023/07/31","02:18","0.761","-","1.43"
"2023/07/31","02:24","0.651","-","1.33"
"2023/07/31","02:30","0.55","-","1.23"
"2023/07/31","02:36","0.458","-","1.14"
"2023/07/31","02:42","0.375","-","1.07"
"2023/07/31","02:48","0.3","-","1"
"2023/07/31","02:54","0.233","-","0.95"
"2023/07/31","03:00","0.173","-","0.91"
"2023/07/31","03:06","0.119","-","0.87"
"2023/07/31","03:12","0.071","-","0.84"
"2023/07/31","03:18","0.029","-","0.8"
"2023/07/31","03:24","-0.008","-","0.76"
"2023/07/31","03:30","-0.04","-","0.71"
"2023/07/31","03:36","-0.067","-","0.66"
"2023/07/31","03:42","-0.089","-","0.6"
"2023/07/31","03:48","-0.107","-","0.54"
"2023/07/31","03:54","-0.121","-","0.47"
"2023/07/31","04:00","-0.129","-","0.4"
"2023/07/31","04:06","-0.132","-","0.33"
"2023/07/31","04:12","-0.129","-","0.26"
"2023/07/31","04:18","-0.119","-","0.2"
"2023/07/31","04:24","-0.103","-","0.14"
"2023/07/31","04:30","-0.079","-","0.1"
"2023/07/31","04:36","-0.047","-","0.06"
"2023/07/31","04:42","-0.005","-","0.05"
"2023/07/31","04:48","0.047","-","0.05"
"2023/07/31","04:54","0.109","-","0.08"
"2023/07/31","05:00","0.183","-","0.13"
"2023/07/31","05:06","0.27","-","0.18"
"2023/07/31","05:12","0.369","-","0.27"
"2023/07/31","05:18","0.481","-","0.38"
"2023/07/31","05:24","0.607","-","0.51"
"2023/07/31","05:30","0.747","-","0.66"
"2023/07/31","05:36","0.901","-","0.84"
"2023/07/31","05:42","1.068","-","1.03"
"2023/07/31","05:48","1.249","-","1.26"
"2023/07/31","05:54","1.443","-","1.49"
"2023/07/31","06:00","1.649","-","1.76"
"2023/07/31","06:06","1.866","-","2.04"
"2023/07/31","06:12","2.093","-","2.33"
"2023/07/31","06:18","2.33","-","2.64"
"2023/07/31","06:24","2.574","-","2.95"
"2023/07/31","06:30","2.825","-","3.27"
"2023/07/31","06:36","3.08","-","3.6"
"2023/07/31","06:42","3.339","-","3.91"
"2023/07/31","06:48","3.599","-","4.24"
"2023/07/31","06:54","3.859","-","4.56"
"2023/07/31","07:00","4.118","-","4.87"
"2023/07/31","07:06","4.372","-","5.15"
"2023/07/31","07:12","4.622","-","5.44"
"2023/07/31","07:18","4.866","-","5.73"
"2023/07/31","07:24","5.102","-","5.99"
"2023/07/31","07:30","5.329","-","6.24"
"2023/07/31","07:36","5.546","-","6.47"
"2023/07/31","07:42","5.752","-","6.7"
"2023/07/31","07:48","5.947","-","6.9"
"2023/07/31","07:54","6.129","-","7.07"
"2023/07/31","08:00","6.299","-","7.23"
"2023/07/31","08:06","6.455","-","7.39"
"2023/07/31","08:12","6.599","-","7.51"
"2023/07/31","08:18","6.73","-","7.63"
"2023/07/31","08:24","6.848","-","7.73"
"2023/07/31","08:30","6.954","-","7.81"
"2023/07/31","08:36","7.048","-","7.89"
"2023/07/31","08:42","7.131","-","7.95"
"2023/07/31","08:48","7.202","-","7.99"
"2023/07/31","08:54","7.264","-","8.03"
"2023/07/31","09:00","7.316","-","8.05"
"2023/07/31","09:06","7.359","-","8.06"
"2023/07/31","09:12","7.393","-","8.07"
"2023/07/31","09:18","7.42","-","8.08"
"2023/07/31","09:24","7.44","-","8.09"
"2023/07/31","09:30","7.453","-","8.11"
"2023/07/31","09:36","7.459","-","8.13"
"2023/07/31","09:42","7.46","-","8.14"
"2023/07/31","09:48","7.456","-","8.18"
"2023/07/31","09:54","7.445","-","8.21"
"2023/07/31","10:00","7.43","-","8.23"
"2023/07/31","10:06","7.409","-","8.26"
"2023/07/31","10:12","7.383","-","8.27"
"2023/07/31","10:18","7.351","-","8.28"
"2023/07/31","10:24","7.314","-","8.28"
"2023/07/31","10:30","7.271","-","8.28"
"2023/07/31","10:36","7.221","-","8.27"
"2023/07/31","10:42","7.165","-","8.26"
"2023/07/31","10:48","7.101","-","8.23"
"2023/07/31","10:54","7.031","-","8.18"
"2023/07/31","11:00","6.953","-","8.13"
"2023/07/31","11:06","6.866","-","8.08"
"2023/07/31","11:12","6.772","-","8.01"
"2023/07/31","11:18","6.669","-","7.93"
"2023/07/31","11:24","6.557","-","7.83"
"2023/07/31","11:30","6.436","-","7.72"
"2023/07/31","11:36","6.306","-","7.6"
"2023/07/31","11:42","6.167","-","7.46"
"2023/07/31","11:48","6.019","-","7.31"
"2023/07/31","11:54","5.862","-","7.14"
"2023/07/31","12:00","5.697","-","6.97"
"2023/07/31","12:06","5.524","-","6.78"
"2023/07/31","12:12","5.343","-","6.56"
"2023/07/31","12:18","5.155","-","6.36"
"2023/07/31","12:24","4.961","-","6.13"
"2023/07/31","12:30","4.761","-","5.91"
"2023/07/31","12:36","4.556","-","5.67"
"2023/07/31","12:42","4.347","-","5.41"
"2023/07/31","12:48","4.135","-","5.16"
"2023/07/31","12:54","3.921","-","4.89"
"2023/07/31","13:00","3.706","-","4.64"
"2023/07/31","13:06","3.492","-","4.37"
"2023/07/31","13:12","3.278","-","4.1"
"2023/07/31","13:18","3.067","-","3.83"
"2023/07/31","13:24","2.859","-","3.55"
"2023/07/31","13:30","2.655","-","3.3"
"2023/07/31","13:36","2.457","-","3.05"
"2023/07/31","13:42","2.265","-","2.8"
"2023/07/31","13:48","2.08","-","2.56"
"2023/07/31","13:54","1.903","-","2.32"
"2023/07/31","14:00","1.735","-","2.12"
"2023/07/31","14:06","1.576","-","1.93"
"2023/07/31","14:12","1.427","-","1.73"
"2023/07/31","14:18","1.288","-","1.56"
"2023/07/31","14:24","1.16","-","1.39"
"2023/07/31","14:30","1.042","-","1.21"
"2023/07/31","14:36","0.934","-","1.07"
"2023/07/31","14:42","0.837","-","0.96"
"2023/07/31","14:48","0.75","-","0.86"
