7450-383325
OS REV: 1.05 Sensor Cal: 1644949570
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1660926900,+3.45,+22.654, +8.421,+0.975
1660926960,+3.45,+22.972, +8.357,+0.975
1660927020,+3.45,+22.989, +8.354,+0.975
1660927080,+3.45,+22.922, +8.365,+0.975
1660927140,+3.46,+22.737, +8.410,+0.975
1660927200,+3.46,+22.537, +8.428,+0.974
1660927260,+3.46,+22.629, +8.379,+0.974
1660927320,+3.46,+22.687, +8.368,+0.974
1660927380,+3.46,+22.696, +8.361,+0.974
1660927440,+3.46,+22.612, +8.386,+0.974
1660927500,+3.46,+22.486, +8.402,+0.974
1660927560,+3.46,+22.453, +8.403,+0.974
1660927620,+3.46,+22.394, +8.420,+0.975
1660927680,+3.47,+22.336, +8.427,+0.974
1660927740,+3.47,+22.311, +8.410,+0.974
1660927800,+3.47,+22.286, +8.429,+0.975
1660927860,+3.47,+22.244, +8.439,+0.975
1660927920,+3.47,+22.235, +8.434,+0.974
1660927980,+3.47,+22.202, +8.439,+0.974
1660928040,+3.47,+22.185, +8.443,+0.974
1660928100,+3.46,+22.093, +8.467,+0.974
1660928160,+3.46,+22.043, +8.514,+0.974
1660928220,+3.47,+22.277, +8.448,+0.973
1660928280,+3.47,+22.219, +8.484,+0.974
1660928340,+3.47,+21.892, +8.525,+0.973
1660928400,+3.47,+21.733, +8.533,+0.973
1660928460,+3.47,+21.558, +8.540,+0.974
1660928520,+3.47,+21.424, +8.504,+0.974
1660928580,+3.47,+21.340, +8.475,+0.974
1660928640,+3.47,+21.265, +8.437,+0.974
1660928700,+3.47,+21.215, +8.432,+0.974
1660928760,+3.47,+21.165, +8.432,+0.974
1660928820,+3.47,+21.123, +8.447,+0.974
1660928880,+3.47,+21.081, +8.475,+0.974
1660928940,+3.47,+21.056, +8.497,+0.974
1660929000,+3.47,+21.039, +8.501,+0.974
1660929060,+3.47,+21.022, +8.520,+0.974
1660929120,+3.47,+20.997, +8.536,+0.974
1660929180,+3.47,+20.997, +8.533,+0.974
1660929240,+3.47,+21.006, +8.535,+0.974
1660929300,+3.47,+20.981, +8.529,+0.974
1660929360,+3.47,+20.964, +8.533,+0.974
1660929420,+3.47,+20.964, +8.528,+0.974
