7450-383325
OS REV: 1.05 Sensor Cal: 1644949570
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1660318380,+3.46,+24.414, +8.242,+0.978
1660318440,+3.46,+24.624, +8.460,+0.979
1660318500,+3.46,+25.137, +8.183,+0.978
1660318560,+3.47,+25.685, +8.097,+0.977
1660318620,+3.46,+26.327, +8.021,+0.976
1660318680,+3.46,+27.379, +7.916,+0.977
1660318740,+3.46,+28.359, +7.776,+0.978
1660318800,+3.46,+29.320, +7.648,+0.976
1660318860,+3.46,+30.027, +7.559,+0.977
1660318920,+3.46,+30.572, +7.425,+0.977
1660318980,+3.46,+30.919, +7.388,+0.976
1660319040,+3.47,+31.041, +7.384,+0.976
1660319100,+3.47,+30.963, +7.357,+0.976
1660319160,+3.47,+31.059, +7.410,+0.977
1660319220,+3.47,+31.146, +7.408,+0.976
1660319280,+3.47,+31.128, +7.399,+0.978
1660319340,+3.47,+31.311, +7.426,+0.978
1660319400,+3.47,+31.494, +7.388,+0.977
1660319460,+3.46,+31.862, +7.377,+0.978
1660319520,+3.47,+32.081, +7.355,+0.977
1660319580,+3.47,+32.458, +7.375,+0.977
1660319640,+3.47,+32.696, +7.305,+0.977
1660319700,+3.46,+33.022, +7.245,+0.976
1660319760,+3.47,+33.420, +7.214,+0.976
1660319820,+3.47,+33.917, +7.274,+0.977
1660319880,+3.47,+34.737, +7.116,+0.975
1660319940,+3.47,+35.392, +6.990,+0.972
1660320000,+3.47,+35.743, +6.964,+0.972
1660320060,+3.47,+36.104, +6.978,+0.971
1660320120,+3.46,+36.503, +6.929,+0.970
1660320180,+3.46,+36.512, +6.864,+0.969
1660320240,+3.46,+36.484, +6.861,+0.970
1660320300,+3.47,+36.503, +6.872,+0.969
1660320360,+3.47,+36.503, +6.876,+0.970
1660320420,+3.47,+36.494, +6.871,+0.970
1660320480,+3.47,+36.512, +6.883,+0.970
1660320540,+3.47,+36.494, +6.870,+0.970
1660320600,+3.47,+36.503, +6.832,+0.970
1660320660,+3.47,+36.484, +6.784,+0.968
1660320720,+3.48,+31.905, +6.552,+0.972
1660320780,+3.48,+29.354, +6.909,+0.976
1660320840,+3.49,+27.762, +7.076,+0.977
1660320900,+3.49,+26.657, +7.242,+0.977
1660320960,+3.49,+25.913, +7.394,+0.977
1660321020,+3.49,+25.348, +7.506,+0.977
1660321080,+3.49,+24.910, +7.754,+0.977
1660321140,+3.49,+24.565, +7.886,+0.977
1660321200,+3.49,+24.288, +8.032,+0.977
1660321260,+3.49,+24.087, +8.122,+0.978
1660321320,+3.49,+23.910, +8.177,+0.977
1660321380,+3.49,+23.768, +8.258,+0.977
1660321440,+3.50,+23.667, +8.304,+0.978
1660321500,+3.50,+23.533, +8.460,+0.978
1660321560,+3.50,+23.458, +8.460,+0.978
1660321620,+3.50,+23.416, +8.465,+0.978
1660321680,+3.50,+23.374, +8.496,+0.979
1660321740,+3.50,+23.324, +8.515,+0.979
1660321800,+3.50,+23.290, +8.526,+0.979
1660321860,+3.50,+23.273, +8.490,+0.979
1660321920,+3.49,+23.231, +8.514,+0.979
1660321980,+3.49,+23.198, +8.544,+0.979
1660322040,+3.49,+23.164, +8.428,+0.979
1660322100,+3.49,+23.139, +8.235,+0.978
1660322160,+3.49,+23.114, +8.266,+0.979
1660322220,+3.49,+23.106, +8.260,+0.979
1660322280,+3.49,+23.081, +8.362,+0.979
1660322340,+3.49,+23.056, +8.512,+0.979
1660322400,+3.49,+23.005, +8.625,+0.979
1660322460,+3.49,+22.997, +8.670,+0.979
1660322520,+3.49,+23.005, +8.650,+0.979
1660322580,+3.49,+23.014, +8.654,+0.980
1660322640,+3.49,+23.022, +8.615,+0.979
1660322700,+3.49,+23.022, +8.645,+0.979
1660322760,+3.49,+23.014, +8.529,+0.979
1660322820,+3.49,+22.997, +8.433,+0.979
1660322880,+3.50,+22.972, +8.568,+0.979
1660322940,+3.49,+22.980, +8.623,+0.979
1660323000,+3.49,+22.972, +8.653,+0.980
1660323060,+3.49,+23.005, +8.525,+0.978
1660323120,+3.49,+22.997, +8.413,+0.979
1660323180,+3.49,+22.997, +8.235,+0.979
1660323240,+3.49,+23.014, +8.178,+0.979
1660323300,+3.49,+23.005, +8.086,+0.979
1660323360,+3.49,+23.014, +7.991,+0.978
1660323420,+3.49,+23.030, +8.194,+0.979
1660323480,+3.49,+23.039, +8.310,+0.978
1660323540,+3.49,+23.030, +8.436,+0.979
1660323600,+3.49,+23.039, +8.450,+0.979
1660323660,+3.49,+23.022, +8.554,+0.979
1660323720,+3.49,+23.039, +8.567,+0.979
1660323780,+3.49,+23.047, +8.534,+0.979
1660323840,+3.49,+23.039, +8.458,+0.979
1660323900,+3.49,+23.039, +8.384,+0.979
1660323960,+3.49,+23.056, +8.465,+0.979
1660324020,+3.49,+23.030, +8.653,+0.979
1660324080,+3.49,+23.005, +8.739,+0.979
1660324140,+3.49,+23.039, +8.554,+0.979
1660324200,+3.49,+23.039, +8.533,+0.979
1660324260,+3.49,+23.047, +8.640,+0.979
1660324320,+3.49,+23.039, +8.745,+0.979
1660324380,+3.49,+23.039, +8.724,+0.979
1660324440,+3.49,+23.030, +8.822,+0.979
1660324500,+3.49,+23.039, +8.911,+0.979
1660324560,+3.49,+23.039, +8.948,+0.979
1660324620,+3.49,+23.047, +8.959,+0.979
1660324680,+3.49,+23.072, +8.955,+0.980
1660324740,+3.49,+23.064, +8.965,+0.979
1660324800,+3.49,+23.047, +8.999,+0.980
1660324860,+3.49,+23.056, +8.998,+0.979
1660324920,+3.49,+23.064, +8.985,+0.979
1660324980,+3.49,+23.081, +8.959,+0.979
1660325040,+3.49,+23.097, +8.908,+0.979
