7450-364333
OS REV: 1.05 Sensor Cal: 1644948279
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659576180,+3.49,+22.497, +8.250,+0.953
1659576240,+3.49,+22.313, +8.282,+0.953
1659576300,+3.49,+22.196, +8.331,+0.954
1659576360,+3.48,+22.137, +8.360,+0.954
1659576420,+3.49,+22.120, +8.357,+0.954
1659576480,+3.49,+22.070, +8.381,+0.954
1659576540,+3.49,+22.037, +8.349,+0.954
1659576600,+3.49,+21.919, +8.354,+0.954
1659576660,+3.49,+21.861, +8.378,+0.954
1659576720,+3.49,+21.844, +8.394,+0.954
1659576780,+3.49,+21.852, +8.398,+0.954
1659576840,+3.49,+21.852, +8.404,+0.954
1659576900,+3.49,+21.869, +8.402,+0.954
1659576960,+3.49,+21.861, +8.413,+0.954
1659577020,+3.49,+21.869, +8.402,+0.954
1659577080,+3.49,+21.852, +8.409,+0.954
1659577140,+3.49,+21.878, +8.409,+0.954
1659577200,+3.49,+21.869, +8.411,+0.954
1659577260,+3.49,+21.886, +8.409,+0.954
1659577320,+3.49,+21.886, +8.408,+0.954
1659577380,+3.49,+21.844, +8.368,+0.954
1659577440,+3.49,+21.794, +8.378,+0.954
1659577500,+3.49,+21.802, +8.374,+0.954
1659577560,+3.49,+21.802, +8.388,+0.954
1659577620,+3.49,+21.811, +8.381,+0.953
1659577680,+3.49,+21.811, +8.393,+0.954
1659577740,+3.49,+21.844, +8.397,+0.954
1659577800,+3.49,+21.836, +8.399,+0.954
1659577860,+3.49,+21.844, +8.406,+0.954
1659577920,+3.49,+21.844, +8.408,+0.954
1659577980,+3.49,+21.844, +8.411,+0.954
1659578040,+3.49,+21.836, +8.408,+0.954
1659578100,+3.49,+21.836, +8.409,+0.954
1659578160,+3.49,+21.827, +8.405,+0.953
1659578220,+3.49,+21.827, +8.404,+0.954
1659578280,+3.49,+21.836, +8.402,+0.954
1659578340,+3.49,+21.827, +8.404,+0.954
1659578400,+3.49,+21.819, +8.401,+0.954
1659578460,+3.49,+21.811, +8.398,+0.954
1659578520,+3.49,+21.836, +8.395,+0.954
1659578580,+3.49,+21.811, +8.393,+0.954
1659578640,+3.49,+21.811, +8.400,+0.954
1659578700,+3.49,+21.802, +8.397,+0.954
1659578760,+3.49,+21.811, +8.395,+0.954
1659578820,+3.49,+21.802, +8.390,+0.954
1659578880,+3.49,+21.811, +8.389,+0.954
1659578940,+3.49,+21.811, +8.379,+0.954
1659579000,+3.49,+21.811, +8.372,+0.954
1659579060,+3.49,+21.786, +8.376,+0.954
1659579120,+3.49,+21.786, +8.377,+0.954
1659579180,+3.49,+21.777, +8.376,+0.953
1659579240,+3.49,+21.760, +8.392,+0.954
1659579300,+3.49,+21.760, +8.391,+0.954
1659579360,+3.49,+21.735, +8.406,+0.954
1659579420,+3.50,+21.752, +8.401,+0.954
1659579480,+3.50,+21.719, +8.414,+0.954
1659579540,+3.50,+21.710, +8.404,+0.953
1659579600,+3.50,+21.710, +8.413,+0.954
1659579660,+3.50,+21.702, +8.411,+0.954
1659579720,+3.50,+21.693, +8.416,+0.954
1659579780,+3.50,+21.685, +8.414,+0.954
1659579840,+3.50,+21.668, +8.418,+0.954
1659579900,+3.50,+21.668, +8.413,+0.954
1659579960,+3.50,+21.660, +8.409,+0.953
1659580020,+3.50,+21.668, +8.407,+0.954
1659580080,+3.50,+21.660, +8.408,+0.954
1659580140,+3.50,+21.668, +8.408,+0.954
1659580200,+3.50,+21.660, +8.409,+0.954
1659580260,+3.50,+21.652, +8.412,+0.954
1659580320,+3.50,+21.643, +8.414,+0.954
1659580380,+3.50,+21.652, +8.403,+0.953
1659580440,+3.50,+21.643, +8.408,+0.954
1659580500,+3.50,+21.635, +8.417,+0.954
1659580560,+3.50,+21.627, +8.414,+0.954
1659580620,+3.50,+21.610, +8.408,+0.953
1659580680,+3.50,+21.601, +8.418,+0.954
1659580740,+3.50,+21.593, +8.421,+0.954
1659580800,+3.50,+21.601, +8.410,+0.953
1659580860,+3.50,+21.568, +8.419,+0.953
1659580920,+3.50,+21.568, +8.426,+0.954
1659580980,+3.50,+21.560, +8.424,+0.954
1659581040,+3.50,+21.560, +8.425,+0.954
1659581100,+3.50,+21.560, +8.423,+0.954
1659581160,+3.50,+21.551, +8.419,+0.953
