7450-383325
OS REV: 1.05 Sensor Cal: 1644949570
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1669144500,+3.48,+20.545, +8.757,+0.953
1669144560,+3.48,+20.888, +8.616,+0.952
1669144620,+3.48,+21.047, +8.510,+0.952
1669144680,+3.49,+21.114, +8.415,+0.953
1669144740,+3.49,+21.173, +8.307,+0.953
1669144800,+3.49,+21.223, +8.215,+0.953
1669144860,+3.49,+21.232, +8.158,+0.952
1669144920,+3.49,+21.257, +8.121,+0.952
1669144980,+3.49,+21.273, +8.087,+0.953
1669145040,+3.49,+21.273, +8.082,+0.952
1669145100,+3.49,+21.290, +8.091,+0.953
1669145160,+3.49,+21.298, +8.107,+0.952
1669145220,+3.49,+21.298, +8.104,+0.952
1669145280,+3.49,+21.290, +8.051,+0.953
1669145340,+3.49,+21.290, +7.960,+0.952
1669145400,+3.49,+21.315, +7.924,+0.953
1669145460,+3.49,+21.290, +7.926,+0.953
1669145520,+3.49,+21.298, +7.933,+0.953
1669145580,+3.49,+21.324, +7.936,+0.952
1669145640,+3.49,+21.315, +7.945,+0.952
1669145700,+3.49,+21.307, +7.943,+0.952
1669145760,+3.49,+21.315, +7.944,+0.953
1669145820,+3.49,+21.340, +7.928,+0.952
1669145880,+3.49,+21.324, +7.927,+0.952
1669145940,+3.49,+21.332, +7.935,+0.952
1669146000,+3.49,+21.340, +7.931,+0.952
1669146060,+3.49,+21.332, +7.931,+0.952
1669146120,+3.49,+21.349, +7.934,+0.953
1669146180,+3.49,+21.340, +7.942,+0.953
1669146240,+3.49,+21.340, +7.954,+0.952
1669146300,+3.49,+21.349, +7.947,+0.952
1669146360,+3.49,+21.340, +7.929,+0.952
1669146420,+3.49,+21.340, +7.899,+0.952
1669146480,+3.49,+21.340, +7.893,+0.952
1669146540,+3.49,+21.349, +7.935,+0.952
1669146600,+3.49,+21.332, +8.004,+0.952
1669146660,+3.49,+21.332, +8.094,+0.953
1669146720,+3.49,+21.332, +8.149,+0.953
1669146780,+3.49,+21.324, +8.202,+0.952
1669146840,+3.49,+21.307, +8.249,+0.953
1669146900,+3.49,+21.332, +8.278,+0.953
1669146960,+3.49,+21.332, +8.306,+0.953
1669147020,+3.49,+21.332, +8.298,+0.952
1669147080,+3.49,+21.315, +8.300,+0.953
1669147140,+3.49,+21.332, +8.286,+0.953
1669147200,+3.49,+21.340, +8.270,+0.952
1669147260,+3.49,+21.315, +8.274,+0.953
1669147320,+3.49,+21.340, +8.247,+0.953
1669147380,+3.49,+21.340, +8.228,+0.953
1669147440,+3.49,+21.340, +8.212,+0.953
1669147500,+3.49,+21.340, +8.206,+0.953
1669147560,+3.49,+21.332, +8.203,+0.953
1669147620,+3.49,+21.324, +8.206,+0.952
1669147680,+3.49,+21.332, +8.218,+0.953
1669147740,+3.49,+21.332, +8.225,+0.953
1669147800,+3.49,+21.332, +8.368,+0.953
1669147860,+3.49,+21.332, +8.419,+0.952
1669147920,+3.49,+21.324, +8.466,+0.952
1669147980,+3.49,+21.307, +8.473,+0.952
1669148040,+3.49,+21.307, +8.476,+0.952
1669148100,+3.49,+21.307, +8.473,+0.953
1669148160,+3.49,+21.298, +8.465,+0.953
1669148220,+3.49,+21.298, +8.441,+0.953
1669148280,+3.49,+21.282, +8.421,+0.953
1669148340,+3.49,+21.282, +8.392,+0.953
1669148400,+3.49,+21.273, +8.361,+0.952
1669148460,+3.49,+21.298, +8.326,+0.953
1669148520,+3.49,+21.290, +8.306,+0.953
1669148580,+3.49,+21.282, +8.290,+0.953
1669148640,+3.49,+21.257, +8.285,+0.953
1669148700,+3.49,+21.273, +8.276,+0.953
1669148760,+3.49,+21.265, +8.286,+0.953
1669148820,+3.49,+21.282, +8.269,+0.953
1669148880,+3.49,+21.273, +8.254,+0.953
1669148940,+3.49,+21.273, +8.229,+0.953
1669149000,+3.49,+21.232, +8.215,+0.953
1669149060,+3.49,+21.232, +8.207,+0.953
1669149120,+3.49,+21.232, +8.202,+0.952
1669149180,+3.49,+21.248, +8.183,+0.953
1669149240,+3.49,+21.215, +8.173,+0.953
1669149300,+3.49,+21.198, +8.150,+0.952
1669149360,+3.49,+21.206, +8.146,+0.952
1669149420,+3.49,+21.190, +8.148,+0.953
1669149480,+3.49,+21.173, +8.152,+0.952
1669149540,+3.49,+21.173, +8.165,+0.953
1669149600,+3.49,+21.173, +8.167,+0.952
1669149660,+3.49,+21.165, +8.165,+0.952
1669149720,+3.49,+21.173, +8.167,+0.953
1669149780,+3.49,+21.165, +8.179,+0.953
1669149840,+3.49,+21.165, +8.172,+0.952
1669149900,+3.49,+21.173, +8.183,+0.953
1669149960,+3.49,+21.173, +8.189,+0.953
1669150020,+3.49,+21.156, +8.207,+0.953
1669150080,+3.49,+21.148, +8.212,+0.953
1669150140,+3.49,+21.148, +8.211,+0.953
1669150200,+3.49,+21.165, +8.192,+0.953
1669150260,+3.49,+21.148, +8.193,+0.953
1669150320,+3.49,+21.140, +8.186,+0.952
1669150380,+3.49,+21.140, +8.180,+0.952
1669150440,+3.49,+21.131, +8.158,+0.953
1669150500,+3.49,+21.140, +8.127,+0.952
1669150560,+3.49,+21.131, +8.127,+0.953
1669150620,+3.49,+21.098, +8.119,+0.952
1669150680,+3.49,+21.098, +8.118,+0.953
1669150740,+3.49,+21.081, +8.133,+0.952
1669150800,+3.49,+21.098, +8.133,+0.953
1669150860,+3.49,+21.064, +8.136,+0.953
1669150920,+3.49,+21.081, +8.119,+0.953
1669150980,+3.49,+21.073, +8.133,+0.952
1669151040,+3.49,+21.047, +8.162,+0.953
1669151100,+3.49,+21.031, +8.183,+0.953
1669151160,+3.49,+21.047, +8.180,+0.952
1669151220,+3.49,+21.047, +8.194,+0.953
1669151280,+3.49,+21.039, +8.204,+0.952
1669151340,+3.49,+21.039, +8.227,+0.953
1669151400,+3.49,+21.031, +8.242,+0.953
1669151460,+3.49,+21.031, +8.245,+0.952
1669151520,+3.49,+21.022, +8.251,+0.952
1669151580,+3.49,+21.022, +8.250,+0.953
1669151640,+3.49,+21.031, +8.211,+0.953
1669151700,+3.49,+21.014, +8.207,+0.952
1669151760,+3.49,+21.014, +8.231,+0.953
1669151820,+3.49,+21.014, +8.228,+0.953
1669151880,+3.49,+21.006, +8.215,+0.952
1669151940,+3.49,+20.997, +8.233,+0.952
1669152000,+3.49,+20.997, +8.231,+0.953
1669152060,+3.49,+20.972, +8.214,+0.953
1669152120,+3.49,+20.637, +8.602,+0.952
1669152180,+3.49,+20.470, +8.641,+0.952
1669152240,+3.49,+20.470, +8.653,+0.953
1669152300,+3.49,+20.462, +8.645,+0.952
1669152360,+3.49,+20.487, +8.632,+0.952
1669152420,+3.49,+20.478, +8.647,+0.953
1669152480,+3.49,+20.520, +8.638,+0.953
1669152540,+3.49,+20.512, +8.638,+0.953
1669152600,+3.49,+20.537, +8.642,+0.953
1669152660,+3.49,+20.554, +8.643,+0.953
1669152720,+3.49,+20.562, +8.630,+0.952
1669152780,+3.49,+20.579, +8.634,+0.953
1669152840,+3.49,+20.562, +8.635,+0.953
1669152900,+3.49,+20.562, +8.631,+0.953
1669152960,+3.49,+20.545, +8.638,+0.953
1669153020,+3.49,+20.570, +8.619,+0.952
1669153080,+3.49,+20.537, +8.630,+0.952
1669153140,+3.49,+20.520, +8.637,+0.953
1669153200,+3.49,+20.487, +8.635,+0.952
1669153260,+3.49,+20.453, +8.648,+0.953
1669153320,+3.49,+20.437, +8.655,+0.953
1669153380,+3.49,+20.403, +8.667,+0.953
1669153440,+3.49,+20.386, +8.661,+0.953
1669153500,+3.49,+20.378, +8.663,+0.953
1669153560,+3.49,+20.378, +8.669,+0.953
1669153620,+3.49,+20.378, +8.662,+0.953
1669153680,+3.49,+20.395, +8.659,+0.953
1669153740,+3.49,+20.378, +8.667,+0.953
1669153800,+3.49,+20.395, +8.666,+0.953
1669153860,+3.49,+20.428, +8.646,+0.952
1669153920,+3.49,+20.420, +8.663,+0.953
1669153980,+3.49,+20.487, +8.648,+0.953
