lat,lon,date,extent
41.34267,-72.18504,8/11/2021,5
41.34311,-72.15550,8/11/2021,0
41.34283,-72.18474,8/11/2021,0
41.34237,-72.18460,8/11/2021,0
41.34205,-72.18475,8/11/2021,4
41.34166,-72.18495,8/11/2021,5
41.34165,-72.18438,8/11/2021,0
41.34127,-72.18423,8/11/2021,5
41.34115,-72.18295,8/11/2021,1
41.34081,-72.18260,8/11/2021,0
41.34049,-72.18250,8/11/2021,1
41.34037,-72.18249,8/11/2021,1
41.34023,-72.18295,8/11/2021,5
41.34017,-72.18388,8/11/2021,5
41.33968,-72.18395,8/11/2021,5
41.33959,-72.18353,8/11/2021,5
41.33971,-72.18227,8/11/2021,5
41.33979,-72.18142,8/11/2021,5
41.33989,-72.18077,8/11/2021,2
41.33999,-72.17990,8/11/2021,5
41.34019,-72.17874,8/11/2021,3
41.34027,-72.17710,8/11/2021,0
41.33949,-72.17719,8/11/2021,0
41.33944,-72.17813,8/11/2021,0
41.33933,-72.17905,8/11/2021,0
41.33917,-72.18007,8/11/2021,4
41.33921,-72.18024,8/11/2021,5
41.33899,-72.18128,8/11/2021,5
41.33888,-72.18206,8/11/2021,5
41.34047,-72.18155,8/11/2021,5
41.34087,-72.18020,8/11/2021,0
41.34124,-72.18240,8/11/2021,4
41.34159,-72.18170,8/11/2021,2
41.34203,-72.18077,8/11/2021,0
41.34246,-72.18229,8/11/2021,0
41.34204,-72.18343,8/11/2021,0
41.33895,-72.18345,8/11/2021,5
41.33863,-72.18439,8/11/2021,5
41.33836,-72.18540,8/11/2021,5
41.33802,-72.18639,8/11/2021,0
41.33760,-72.18726,8/11/2021,0
41.33735,-72.18917,8/11/2021,0
41.33758,-72.18694,8/11/2021,0
41.33794,-72.18556,8/11/2021,3
41.33781,-72.18437,8/11/2021,5
41.33794,-72.18335,8/11/2021,5
41.33813,-72.18176,8/11/2021,5
41.33831,-72.18065,8/11/2021,5
41.33850,-72.17964,8/11/2021,0
41.33874,-72.17796,8/11/2021,0
41.33785,-72.17787,8/11/2021,0
41.33776,-72.17940,8/11/2021,0
41.35775,-72.18029,8/11/2021,4
41.33762,-72.18134,8/11/2021,5
41.33751,-72.18195,8/11/2021,5
41.33721,-72.18314,8/11/2021,5
41.33647,-72.18321,8/11/2021,5
41.33666,-72.18159,8/11/2021,5
41.33677,-72.18120,8/11/2021,5
41.33699,-72.18026,8/11/2021,3
41.33717,-72.17910,8/11/2021,0
41.33636,-72.17892,8/11/2021,0
41.33626,-72.18015,8/11/2021,5
41.33611,-72.18111,8/11/2021,5
41.33566,-72.18250,8/11/2021,5
41.33525,-72.18314,8/11/2021,3
41.33474,-72.18273,8/11/2021,3
41.33512,-72.18166,8/11/2021,3
41.33578,-72.18034,8/11/2021,4
41.33592,-72.17915,8/11/2021,0
41.33492,-72.17930,8/11/2021,0
41.33457,-72.18082,8/11/2021,0
41.33425,-72.18189,8/11/2021,2
41.33345,-72.18210,8/11/2021,0
41.33353,-72.18118,8/11/2021,0
41.33380,-72.18000,8/11/2021,0
41.33276,-72.18134,8/11/2021,0
41.33100,-72.18221,8/11/2021,0
41.32614,-72.18233,8/11/2021,0
41.32584,-72.18137,8/11/2021,0
41.32531,-72.18004,8/11/2021,0
